,number,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,scents_group
76,125,CARTIER,Pasha de Cartier,290.0,185.25,100,EDT,Men,Aromatic,"Oakmoss, Sandalwood, Patchouli, Labdanum","Coriander, Brazilian Rosewood",4.3,noon,4.2,98.1K,Aromatic
77,174,Lattafa,Sheikh Al Shuyukh,63.0,32.75,50,EDP,Unisex,Aromatic,"Vetiver, Patchouli","Lavender Sage, Rosemary",4.8,noon,4.2,98.1K,Aromatic
79,288,HUGO BOSS,Hugo,395.0,115.0,125,EDT,Men,Aromatic,"Cedar Wood, Fir, Patchouli","Carnation, Geranium, Jasmine, Sage",4.2,Grass gulf,3.5,135,Aromatic
80,304,CAROLINA HERRERA,Prive,425.0,140.0,100,EDT,Men,Aromatic,"Leather, Benzoin and Tonka",Luxurious Notes of Whiskey,4.3,Perfume Ms,3.8,66,Aromatic
81,345,HUGO BOSS,Hugo,395.0,115.0,125,EDT,Men,Aromatic,"Cedar Wood, Fir, Patchouli","Carnation, Geranium, Jasmine, Sage",4.2,Grass gulf,3.7,135,Aromatic
82,366,JAGUAR,Jaguar,179.0,59.7,100,EDT,Men,Aromatic,"Leather, Sandalwood, Tonka Bean, Amber, Patchouli, Musk, Oakmoss, Vanilla, Cedar, Tobacco, Fern","Cyclamen, Nutmeg, Carnation, Gardenia, Cinnamon, Jasmine, Caraway, Sage, Rose, Geranium, Fir",4.5,noon,4.2,98.1K,Aromatic
83,432,Guerlain,Vetiver,426.0,174.0,100,EDT,Men,Aromatic,"Vetiver, Oakmoss, Leather, Myrrh, Civet, Tonka Bean, Amber","Vetiver, Pepper, Carnation, Sage, Orris Root, Sandalwood",5.0,Nawaem_perfumes,3.9,69,Aromatic
84,474,JAGUAR,Jaguar,179.0,59.7,100,EDT,Men,Aromatic,"Leather, Sandalwood, Tonka Bean, Amber, Patchouli, Musk, Oakmoss, Vanilla, Cedar, Tobacco, Fern","Cyclamen, Nutmeg, Carnation, Gardenia, Cinnamon, Jasmine, Caraway, Sage, Rose, Geranium, Fir",4.5,noon,4.2,98.1K,Aromatic
85,506,Yves Saint Laurent,Rive Gauche Homme,560.0,560.0,80,EDT,Men,Aromatic,Gaiac Wood,Patchouli And Vetiver,4.7,Abu Al Tayyeb Perfumes,3.5,63,Aromatic
86,516,LANVIN PARIS,L'Homme Sport,170.0,149.45,100,EDT,Men,Aromatic,"Cedar, Sandalwood, Musk, Amber, Iris, Vetiver, Benzoin, Moss And Spices","Jasmine, Violet, Iris, Ylang-Ylang, Gardenia, Carnation, Rosemary, Orchid And Cloves",4.0,Parvant Store,3.8,76,Aromatic
87,546,DAVIDOFF,Cool Water,150.0,71.75,75,EDT,Men,Aromatic,"Musk, Oakmoss, Cedar, Amber","Sandalwood, Geranium, Neroli, Jasmine",4.1,noon,4.2,98.1K,Aromatic
88,712,JAGUAR,Classic Black,60.0,60.0,100,EDT,Men,Aromatic,"Sandalwood, Oakmoss, Tonka Beans, Virginia Cedar, Vetiver, Musk","Cardamom With Black Tea Leaves, Geranium, Nutmeg",4.3,perfumes--addresses,4.4,59,Aromatic
89,936,Dolce & Gabbana,K,26.0,14.1,100,EDT,Men,Aromatic,"Woody, Masculine, Cedarwood, Vetiver, Patchouli Accords","Pimento, Clary Sage, Geranium, Lavandin",3.0,beautiful lady,4.3,5,Aromatic
90,964,DAVIDOFF,Cool Water,150.0,71.75,75,EDT,Men,Aromatic,"Musk, Oakmoss, Cedar, Amber","Sandalwood, Geranium, Neroli, Jasmine",4.1,noon,4.2,98.1K,Aromatic
185,1,Roberto Cavalli,Paradiso Assoluto,415.0,107.95,50,EDP,Women,Floral,"Vanilla, Sandalwood And Patchouli",Wild Jasmine and Red Lily,4.8,noon,4.2,98.1K,Floral
186,8,GUCCI,Bamboo,575.0,189.0,75,EDP,Women,Floral,Sandalwood,Casablanca Lily and Ylang Ylang Extra-Comoros,4.8,Al-Najm,3.7,347,Floral
187,13,MONTALE,Black Oud,455.0,240.0,100,EDP,Men,Floral,"Mandarin Orange, Agarwood","Musk, Patchouli",3.3,noon,4.2,98.1K,Floral
188,15,CHLOE,Love Story,483.0,274.95,75,EDP,Women,Floral,"Musk, Cedar, Cashmirwood, Patchouli","Orange Blossom, Stephanotis, Rose, Black Currant, Peach",5.0,noon,4.2,98.1K,Floral
189,18,Rasasi,Romance,60.0,35.25,45,EDP,Women,Floral,"Amber, Musk, Powdery Notes, Cedar and Sandalwood","Rose,Jasmine",4.5,B.A.G,3.7,14.1K,Floral
190,19,BOUCHERON,Quatre,327.0,171.5,100,EDP,Women,Floral,Golden Woods Musk,"Sambac Jasmine Absolute, Rose Absolute",5.0,Star.perfume,3.9,537,Floral
191,20,NARCISO RODRIGUEZ,Narciso Rodriguez,595.0,200.0,100,EDP,Women,Floral,Patchouli and Sandalwood,Amber and Musk,4.6,hadayiq baris,3.8,122,Floral
