category,notes
oriental,vanilla
oriental,amber
oriental,musk
oriental,incense
oriental,spicy
oriental,arabian
oriental,spice
oriental,tonka
oriental,benzoin
oriental,ginger
oriental,chocolate
oriental,cloves
oriental,cardamom
oriental,resin
oriental,tea
oriental,pepper
oriental,suede
oriental,cinnamon
oriental,chestnut
oriental,ambergris
floral,orange blossom
floral,jasmine
floral,lily
floral,rose
floral,lavender
floral,gardenia
floral,iris
floral,violet
floral,magnolia
floral,freesia
floral,peony
floral,carnation
floral,heliotrope
floral,geranium
floral,flower
floral,floral
floral,tuberose
floral,honeysuckle
floral,wisteria
floral,osmanthus
floral,ylang
floral,powder
floral,aromatic
floral,sweet
floral,berry
floral,berries
floral,fruit
woody,patchouli
woody,sandalwood
woody,cedar
woody,vetiver
woody,moss
woody,wood
woody,dry
woody,herb
woody,oak
woody,pine
woody,cashmere
woody,leather
woody,suede
woody,tea
woody,chestnut
woody,birch
woody,tree
woody,nut
fresh,citrus
fresh,marine
fresh,grass
fresh,bergamot
fresh,lemon
fresh,fruit
fresh,green
fresh,herb
fresh,aquatic
fresh,neroli
fresh,water
